Name,Distance_to_Past_Winner,AGE,Draft Pick,YEARS,G,GS,MPG,PTS,AST,RB,BLK,STL,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,TOV,AST/TO,PF,SOS,NAT_CH,AGE_was_nan,Draft Pick_was_nan,YEARS_was_nan,G_was_nan,GS_was_nan,MPG_was_nan,PTS_was_nan,AST_was_nan,RB_was_nan,BLK_was_nan,STL_was_nan,FG_was_nan,FGA_was_nan,FG%_was_nan,3P_was_nan,3PA_was_nan,3P%_was_nan,FT_was_nan,FTA_was_nan,FT%_was_nan,TOV_was_nan,AST/TO_was_nan,PF_was_nan,SOS_was_nan,NAT_CH_was_nan
Pacôme Dadiet,48.65,18,25,3,26,62.15,12.6,4.6,0.3,1.2,0.2,0.5,1.7,3.8,0.449,0.5,1.8,0.304,0.7,1.0,0.72,0.7,0.43,1.3,6.46,False,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
AJ Johnson,51.02,19,23,1,25,62.15,7.9,2.8,0.7,1.3,0.1,0.2,1.1,3.0,0.355,0.3,1.1,0.286,0.3,0.5,0.538,0.6,1.17,0.8,6.46,False,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
KJ Simpson,51.93,21,42,3,98,66.0,29.6,14.6,3.9,4.3,0.1,1.3,4.9,11.4,0.429,1.4,3.9,0.347,3.4,4.1,0.834,2.3,1.7,2.0,7.64,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bobi Klintman,53.38,21,37,1,23,62.15,21.3,9.7,0.7,4.8,0.5,0.8,3.2,7.3,0.443,1.3,3.7,0.357,2.0,2.5,0.793,1.6,0.44,2.7,6.46,False,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Ajay Mitchell,53.72,22,38,3,91,87.0,32.5,16.1,4.3,3.0,0.3,1.1,5.5,10.8,0.511,0.8,2.3,0.332,4.2,5.2,0.818,2.2,1.95,2.4,-3.15,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Isaiah Collier,54.54,19,29,1,27,26.0,30.0,16.3,4.3,2.9,0.2,1.5,5.7,11.6,0.49,1.0,3.0,0.338,3.9,5.8,0.673,3.3,1.3,2.4,9.54,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cody Williams,56.74,19,10,1,24,18.0,28.4,11.9,1.6,3.0,0.7,0.6,4.5,8.1,0.552,0.7,1.7,0.415,2.3,3.2,0.714,2.0,0.8,2.0,8.36,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ariel Hukporti,56.97,22,58,2,55,62.15,16.8,7.8,0.7,6.0,1.4,0.6,3.0,5.4,0.562,0.0,0.0,0.0,1.7,2.7,0.658,1.5,0.47,2.8,6.46,False,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Kyshawn George,57.96,20,24,1,31,16.0,23.0,7.6,2.2,3.0,0.4,0.9,2.6,6.1,0.426,1.7,4.2,0.408,0.7,0.9,0.778,1.5,1.47,1.8,7.0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Johnny Furphy,59.24,19,35,1,33,19.0,24.1,9.0,1.0,4.9,0.3,0.9,2.9,6.2,0.466,1.3,3.8,0.352,1.9,2.5,0.765,0.8,1.25,2.1,11.32,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
